Cation,Anion,Meilleure Solubilite,Temp Opt,Temps Opt,Cellulose Opt
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CC(C)CCCC(C)(C)OC(=O)C1CCC(C(=O)[O-])CC1,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,C#CCOCCOCCNC(=O)CCC(CCC(=O)NCCO)(CCC(=O)NCCOCCOCC#C)NC(=O)C1CC(OP(C)([O-])=S)C1,3553.0581,160,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@@H]2C=CCCCCCCCCC(=O)[O-],8.2260,200,0.5,cellulose
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,COc1ccc(Cl)cc1-c1cccc(C2(c3ccc(CS(=O)(=O)[O-])cc3)N=C(N)N(C)C2=O)c1,9.7802,200,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CCCCC(C)=CC(C(CC)C(C)(C)C)C12C=CC([C-](C)C)C(C)C1C2,0.9377,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,C[C@H]1C[C@H]1c1ccc(C=C2SC(=S)N(CCCCCC(=O)[O-])C2=O)o1,0.9157,200,10.0,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CC(=O)c1ccc(C(CCC(=O)[O-])NC(=O)OC(C)(C)C)cc1,0.4564,40,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CC#CC(CC(=O)[O-])c1ccc(OCc2cccc(C3=CCC(O)CC3)c2)cc1,1.7526,200,0.5,cellulose
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,CN1N=C2CCN(C(=O)C(CCc3cc(CO)ccc3F)NC(=O)C(C)(C)NC(=O)[O-])C[C@@]2(Cc2ccccc2)C1=O,368.6295,120,0.5,Avicel
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,COc1cc(Br)c(C=Nc2cccc3ccc(OS(=O)(=O)c4ccc(N([O-])O)cc4)cc23)cc1OC,27.8607,200,2.0,cellulose
CCCCCCC=CCCCCC=CCCCC(O)(C[N+](C)(C)C)P(=O)(O)O,Cc1nc(SCc2cccc(C(=O)[O-])c2)nc(N(C)C)c1C,0.4564,40,0.5,Avicel
